n,seconds
1,0.0000508000
2,0.0000767000
3,0.0001168000
4,0.0001558000
5,0.0001880000
6,0.0002408000
7,0.0002935000
8,0.0003342000
9,0.0003776000
10,0.0004121000
11,0.0004493000
12,0.0004833000
13,0.0005192000
14,0.0005600000
15,0.0006086000
16,0.0007029000
17,0.0006654000
18,0.0006731000
19,0.0007047000
20,0.0007381000
21,0.0008006000
22,0.0008230000
23,0.0008667000
24,0.0008759000
25,0.0009785000
26,0.0009704000
27,0.0010162000
28,0.0010442000
29,0.0010928000
30,0.0011193000
31,0.0012063000
32,0.0013053000
33,0.0013264000
34,0.0013956000
35,0.0014348000
36,0.0014912000
37,0.0015575000
38,0.0015597000
39,0.0015941000
40,0.0019199000
41,0.0016742000
42,0.0016917000
43,0.0017320000
44,0.0018229000
45,0.0017476000
46,0.0018463000
47,0.0019874000
48,0.0019613000
49,0.0020250000
50,0.0021120000
51,0.0021133000
52,0.0021233000
53,0.0022668000
54,0.0023849000
55,0.0022475000
56,0.0023688000
57,0.0023091000
58,0.0023574000
59,0.0023784000
60,0.0023603000
61,0.0024831000
62,0.0024770000
63,0.0026168000
64,0.0027858000
65,0.0027365000
66,0.0027816000
67,0.0028834000
68,0.0029059000
69,0.0028712000
70,0.0030389000
71,0.0029593000
72,0.0030524000
73,0.0030290000
74,0.0031708000
75,0.0032136000
76,0.0031569000
77,0.0032143000
78,0.0033126000
79,0.0033769000
80,0.0032166000
81,0.0032672000
82,0.0033782000
83,0.0034058000
84,0.0035234000
85,0.0035131000
86,0.0036069000
87,0.0035746000
88,0.0037497000
89,0.0036820000
90,0.0037424000
91,0.0036797000
92,0.0038205000
93,0.0039530000
94,0.0038656000
95,0.0038759000
96,0.0039327000
97,0.0041522000
98,0.0040406000
99,0.0041340000
100,0.0041608000
101,0.0039748000
102,0.0043783000
103,0.0043967000
104,0.0044386000
105,0.0043704000
106,0.0046697000
107,0.0044988000
108,0.0044702000
109,0.0044280000
110,0.0045923000
111,0.0044445000
112,0.0045339000
113,0.0045663000
114,0.0047477000
115,0.0048120000
116,0.0049079000
117,0.0047340000
118,0.0050359000
119,0.0052165000
120,0.0049491000
121,0.0050566000
122,0.0050321000
123,0.0050672000
124,0.0050611000
125,0.0050526000
126,0.0050464000
127,0.0051438000
128,0.0054152000
129,0.0057261000
130,0.0054624000
131,0.0054038000
132,0.0055818000
133,0.0052898000
134,0.0052163000
135,0.0056964000
136,0.0055562000
137,0.0059506000
138,0.0059175000
139,0.0058382000
140,0.0059107000
141,0.0057393000
142,0.0058317000
143,0.0060123000
144,0.0058263000
145,0.0060260000
146,0.0059971000
147,0.0060767000
148,0.0061890000
149,0.0061873000
150,0.0060632000
151,0.0062325000
152,0.0065403000
153,0.0062733000
154,0.0062618000
155,0.0061441000
156,0.0063057000
157,0.0066304000
158,0.0065505000
159,0.0068305000
160,0.0065862000
161,0.0069364000
162,0.0068511000
163,0.0067423000
164,0.0069772000
165,0.0069627000
166,0.0070617000
167,0.0071054000
168,0.0070895000
169,0.0070413000
170,0.0072314000
171,0.0070268000
172,0.0069803000
173,0.0070405000
174,0.0072617000
175,0.0075262000
176,0.0071724000
177,0.0071271000
178,0.0074488000
179,0.0074626000
180,0.0073944000
181,0.0075428000
182,0.0076944000
183,0.0076163000
184,0.0076918000
185,0.0077394000
186,0.0078867000
187,0.0077139000
188,0.0077942000
189,0.0075944000
190,0.0079195000
191,0.0077293000
192,0.0080777000
193,0.0079867000
194,0.0078439000
195,0.0080862000
196,0.0081070000
197,0.0078714000
198,0.0082645000
199,0.0084658000
200,0.0082961000
